recno,seq,reference,onlink
60,2,"Jackson, P.R., 1991, Geology and mineralization at the Emigrant Springs project, Elko County, Nevada, in Buffa, R.H., and Coyner, A.R., eds., Geology and ore deposits of the Great Basin: Reno, Geological Society of Nevada, Field Trip Guidebook Compendium, v. 1, p. 125–130.",
60,4,"Newmont Mining Corp., 2009, Annual report 2009: Annual Report, p. 33, footnote (4), last accessed May 12, 2011, at http://www.newmont.com/interactive-annual/pdf/newmont-09annualreport.pdf.","http://www.newmont.com/interactive-annual/pdf/newmont-09annualreport.pdf"
60,5,"Thoreson, R.F., 1991, Geology and gold deposits of the Rain subdistrict, Elko County, Nevada, in Raines, G.L., Lisle, R.E., Schafer, R.W., and Wilkinson, W.H., eds., Geology and ore deposits of the Great Basin, Symposium Proceedings: Reno, Geological Society of Nevada, p. 635–642.",
61,2,"Moore, S., ed., 2002, Geology of the northern Carlin trend, map and cross sections, scale 1:24,000, in Thompson, T.B., Teal, L., and Meeuwig, R.O., eds., Deep deposits along the Carlin Trend: Nevada Bureau of Mines and Geology Bulletin 111, plate 1 and 2.",
61,1,"Jory, J., 2002, Stratigraphy and host rock controls of gold deposits of the northern Carlin Trend, in Thompson, T.B., Teal, L., and Meeuwig, R.O., eds., Deep deposits along the Carlin Trend: Nevada Bureau of Mines and Geology Bulletin 111, p. 20–34.",
62,2,"Nutt, C.J., and Hart, K.S., 2004, Geologic map of the Big Bald Mountain quadrangle and part of the Tognini Spring quadrangle, White Pine County, Nevada: Reno, Nevada Bureau of Mines and Geology, Map 145.",
62,1,"Nutt, C.J., Hofstra, A.H., Hart, K.S., and Mortensen, J.K., 2000, Structural setting and genesis of gold deposits in the Bald Mountain-Alligator Ridge area, east-central Nevada, in Cluer, J.K., Price, J.G., Struhsacker, E.M., Hardyman, R.F., and Morris, C.L., eds., Geology and ore deposits 2000—The Great Basin and beyond: Reno, Geological Society of Nevada Symposium Proceedings, p. 513–537.",
63,2,"Birak, D.J., and Hawkins, R.B., 1985, The geology of the Enfield Bell mine and Jerritt Canyon district, Elko County, Nevada: U.S. Geological Survey Bulletin 1646, p. 95–105.",
63,3,"Briggs, D.F., 2006, Mining operations report, version 2005: Unpublished.",
63,4,"Daly, W.E., Doe, T.C., and Loranger, R.J., 1991, Geology of the Northern Independence Mountains, Elko County, Nevada, in Raines, G.L., Lisle, R.E., Schafer, R.W., and Wilkinson, W.H., eds., Geology and ore deposits of the Great Basin, Symposium Proceedings: Reno, Geological Society of Nevada, p. 583–602.",
63,5,"Hofstra, A.H., Snee, L.W., Rye, R.O., Folger, H.W., Phinisey, J.D., Loranger, R.J., Dahl, A.R., Naeser, C.W., Stein, H.J., and Lewchuk, M., 1999, Age constraints on Jerritt Canyon and other gold deposits in the western United States—Relationship to Mid-Tertiary extension and magmatism: Economic Geology, v. 94, no. 6, p. 769–802.",
63,6,"Margolis, J., 2002, Written communication.",
63,7,"Mindat.org, 2011, Enfield mine (Jerritt Canyon gold mine; Bell mine; Marlboro Canyon; Allchem; Generator Hill pits), Independence Mountains district, Elko Co., Nevada, USA: Mineral list, 1 p., last accessed February 3, 2011, at http://www.mindat.org/loc-41217.html.","http://www.mindat.org/loc-41217.html"
63,8,"Muntean, J.L., and Henry, C.D., 2007, Preliminary geologic map of the Jerritt Canyon mining district, Elko County, Nevada, scale 1:24,000: Nevada Bureau of Mines and Geology, 1 sheet.",
63,9,"Nevada Bureau of Mines and Geology, 2008, The Nevada mineral industry, 2008: Nevada Bureau of Mines and Geology Special Publication MI-2008, 178 p.",
63,10,"Weideman, W.I., Dahl, A.R., and MacDonald, G.D., 1991, The geology of the MAP area gold deposits, Enfield Bell mine, Jerritt Canyon district, Elko County, Nevada, in Raines, G.L., Lisle, R.E., Schafer, R.W., and Wilkinson, W.H., eds., Geology and ore deposits of the Great Basin, Symposium Proceedings: Reno, Geological Society of Nevada, p. 603–606.",
63,1,"Birak, D.J., 1986, Exploration and development of the Jerritt Canyon gold deposits, Elko County, Nevada, in Macdonald, A.J., ed., Proceedings Volume: Toronto, Gold ‘86 International Symposium on Geology of Gold Deposits, p. 488–496.",
64,14,"Groff, J.A., Heizler, M.T., McIntosh, W.C., and Norman, D.I., 1997, 40Ar/39Ar dating and mineral paragenesis for Carlin-type gold deposits along the Getchell Trend, Nevada—Evidence for Cretaceous and Tertiary gold mineralization: Economic Geology, v. 92, p. 601–622.",
64,15,"Nevada Bureau of Mines and Geology, 2011, The Nevada mineral industry, 2010: Nevada Bureau of Mines and Geology Special Publication MI-2010, 151 p.",
64,16,"Tretbar, D.R., Arehart, G.B., and Christensen, J.N., 2000, Dating gold deposition in a Carlin-type gold deposit using Rb/Sr methods on the mineral galkhaite: Geology, v. 28, p. 947–950.",
64,1,"Bagby, W.C., and Cline, J.S., 1991, Constraints on the pressure of formation of the Getchell gold deposit, Humboldt County, Nevada, as interpreted from secondary-fluid-inclusion data, in Raines, G.L., Lisle, R.E., Schafer, R.W., and Wilkinson, W.H., eds., Geology and ore deposits of the Great Basin, Symposium Proceedings: Reno, Geological Society of Nevada, p. 793–804.",
64,2,"Barrick Gold Corporation, 2012a, Annual Report 2011: 196 p., last accessed May 4, 2012, at http://www.barrick.com/Theme/Barrick/files/ docs_annual/2012/Barrick-Annual-Report-2011.pdf.","http://www.barrick.com/Theme/Barrick/files/"
64,3,"Berentsen, E.J., Nanna, R.F., Hazlitt, J.S., and Estes, L.D., 1996, Discovery and geology of the Turquoise Ridge gold deposit: Mining Engineering, v. 48, October, p. 31–35.",
64,4,"Berger, B.R., and Taylor, B.E., 1980, Pre-Cenozoic normal faulting in the Osgood Mountains, Humboldt County, Nevada: Geology, v. 8, p. 594–598.",
64,5,"Bowell, R.J., Baumann, M., Gingrich, M., Tretbar, D., Perkins, W.F., and Fisher, P.C., 1999, The occurrence of gold at the Getchell mine, Nevada: Journal of Geochemical Exploration, v. 67, p. 127–143.",
64,6,"Briggs, D.F., 2006, Mining operations report, version 2005: Unpublished.",
64,7,"Cassinerio, M., and Muntean, J., 2010, Patterns of lithology, structure, alteration and trace elements around high-grade ore zones at the Turquoise Ridge gold deposit, Getchell district, Nevada, in Steiniger, R., and Pennel, B., eds., Great Basin evolution and metallogeny: DEStech Publications, Inc., Geological Society of Nevada, Symposium 2010 Proceedings, p. 949–977.",
64,8,"Chevillon, V., Berentsen, E., Gingrich, M., Howald, B., and Zbinden, E., 2000, Geologic overview of the Getchell gold mine geology, exploration, and ore deposits, Humboldt county, Nevada, in Crafford, A.E.J., ed., Geology and ore deposits—The Great Basin and beyond: Geological Society of Nevada Symposium 2000, Field Trip 9, p. 113–121.",
64,9,"Cline, J.S., 2001, Timing of gold and arsenic sulfide mineral deposition at the Getchell Carlin-type gold deposit, north-central Nevada: Economic Geology, v. 96, p. 75–89.",
64,10,"Cline, J.S., and Hofstra, A.A., 2000, Ore-fluid evolution at the Getchell Carlin-type gold deposit, Nevada, USA: European Journal of Mineralogy, v. 12, p. 195–212.",
64,11,"Crafford, E.J., 2000, Overview of regional geology and tectonic setting of the Osgood Mountains region, Humboldt County, Nevada, in Crafford, A.E.J., ed., Geology and ore deposits—The Great Basin and beyond: Geological Society of Nevada Symposium 2000, Field Trip 9, p. 69–83.",
64,12,"Dorff, T., 2005, Turquoise Ridge Joint Venture, GSN tour summary—Turquoise Ridge mine and Getchell underground mine, Humboldt county, Nevada, in Callicrate, T., Leavitt, E., Crafford, E.J., and O’Malley, P., eds., Window to the world; Sediment-hosted gold deposits of the Getchell district, Nevada: Reno, Geological Society of Nevada, Field Trip Guidebook 4, p. 67–76.",
64,13,"Global Infomine, 2012, Turquoise Ridge: Properties, 5 p., last accessed May 8, 2012, at http://www.infomine.com/companies-properties/reports/propertyreport.aspx?pid=21236.","http://www.infomine.com/companies-properties/reports/propertyreport.aspx?pid=21236"
65,1,"McFarlane, D.N., 1991, Gold production on the Carlin Trend, in Buffa, R.H., and Coyner, A.R., eds., Geology and ore deposits of the Great Basin: Field Trip Guidebook Compendium, v. 2, p. 841–843.",
65,2,"Nevada Bureau of Mines and Geology, 2008, The Nevada mineral industry, 2008: Nevada Bureau of Mines and Geology Special Publication MI-2008, 178 p.",
65,3,"Thoreson, R.F., 1991, Geology and gold deposits of the Rain subdistrict, Elko County, Nevada, in Raines, G.L., Lisle, R.E., Schafer, R.W., and Wilkinson, W.H., eds., Geology and ore deposits of the Great Basin, Symposium Proceedings: Reno, Geological Society of Nevada, p. 635–642.",
66,3,"Hays, R.C., Jr., and Foo, S.T., 1991, Geology and mineralization of the Gold Acres deposit, Lander County, Nevada, in Raines, G.L., Lisle, R.E., Schafer, R.W., and Wilkinson, W.H., eds., Geology and ore deposits of the Great Basin, Symposium Proceedings: Reno, Geological Society of Nevada, p. 677–685.",
66,4,"Leonardson, R.W., 2010, Barrick Gold Acres structure, in Steiniger, R., and Pennel, B., eds., Great Basin evolution and metallogeny: DEStech Publications, Inc., Geological Society of Nevada, Symposium 2010 Proceedings, p. 17–29.",
66,5,"Nemitz, M.B., and McClelland, W.C., 2005, The effects of thrust faulting and associated structural preparation on the distribution of gold in Carlin-type deposits of northeastern Nevada, in Rhoden, H.N., Steininger, R.C., and Vikre, P.G., eds., Symposium 2005—Window to the world: Reno, Nevada Geological Society, p. 283–294.",
66,7,"Wrucke, C.T., and Armbrustmacher, T.J., 1975, Geochemical and geologic relations of gold and other elements at the Gold Acres open-pit mine, Lander County, Nevada: U.S. Geological Survey Professional Paper 860, 27 p.",
66,6,"Nevada Bureau of Mines and Geology, 1989, The Nevada mineral industry—1989: Nevada Bureau of Mines and Geology Special Publication MI-1989, 55 p.",
66,1,"Foo, S.T., and Hays, R.C., Jr., 1991, Geology and mineralization of the Gold Acres deposit, Lander County, Nevada (Abstract), in Buffa, R.H., and Coyner, A.R., eds., Geology and ore deposits of the Great Basin: Field Trip Guidebook Compendium, v. 2, p. 959–962.",
66,2,"Gilluli, J., and Masursky, H., 1965, Geology of the Cortez Quadrangle: U.S. Geological Survey Bulletin, v. 1175, 117 p.",
67,7,"Yigit, O., Nelson, E.P., and Hitzman, M.W., 2003, Structural controls on Carlin-type gold mineralization in the Gold Bar district, Eureka County, Nevada: Economic Geology, v. 98, p. 1173–1188.",
67,1,"Briggs, D.F., 2006, Mining operations report, version 2005: Unpublished.",
67,2,"Broili, C., French, G.McN., Shaddrick, D.R., and Weaver, R.R., 1988, Geology and gold mineralization of the Gold Bar deposit, Eureka County, Nevada, in Schafer, R.W., Cooper, J.J., and Vikre, P.G., 1988, Bulk mineable precious metal deposits of the western United States: Reno, Geological Siciety of Nevada, Symposium Proceedings, p. 57–72.",
67,3,"Cope, E.L., and Arbonies, D.G., 1998, Gold Bar district history/summary, in Margolis, J., ed., Sediment-hosted gold deposits of the Eureka (Ruby Hill mine) and Gold Bar districts, east-central Nevada: Geological Society of Nevada Spring Field Trip Guidebook, Special Publication 27, p. 143–162.",
67,4,"Masinter, R.A., 1991, Zoning of altered wall rock and spatial relations to gold ore, Gold Bar mine, Nevada, in Raines, G.L., Lisle, R.E., Schafer, R.W., and Wilkinson, W.H., eds., Geology and ore deposits of the Great Basin, symposium proceedings: Reno, Geological Society of Nevada, p. 701–703.",
67,5,"Nevada Bureau of Mines and Geology, 2008, The Nevada mineral industry, 2008: Nevada Bureau of Mines and Geology Special Publication MI-2008, 178 p.",
67,6,"Yigit, O., and Hofstra, A.H., 2003, Lithogeochemistry of Carlin-type gold mineralization in the Gold Bar district, Battle Mountain-Eureka trend, Nevada: Ore Geology Reviews, v. 22, p. 201–224.",
67,8,"Yigit, O., Hofstra, A.H., Hitzman, M.W., and Nelson, E.P., 2006, Geology and geochemistry of jasperoids from the Gold Bar district, Nevada: Mineralium Deposita, v. 41, p. 527–547.",
68,3,"Nevada Bureau of Mines and Geology, 2009, The Nevada mineral industry 2009: Nevada Bureau of Mines and Geology Special Publication MI-2009, 180 p.",
68,1,"Briggs, D.F., 2006, Mining operations report, version 2005: Unpublished.",
68,2,"Cope, E.L., and Arbonies, D.G., 1998, Gold Bar district history/summary, in Margolis, J., ed., Sediment-hosted gold deposits of the Eureka (Ruby Hill mine) and Gold Bar districts, east-central Nevada: Geological Society of Nevada Spring Field Trip Guidebook, Special Publication 27, p. 143–162.",
68,4,"Yigit, O., and Nelson, E.P., 2000, Paleozoic structural controls on Tertiary gold mineralization in the Gold Canyon deposit, Eureka County, Nevada, in Cluer, J.K., Price, J.G., Struhsacker, E.M., Hardyman, R.F., and Morris, C.L., eds., Geology and ore deposits 2000—The Great Basin and beyond: Reno, Geological Society of Nevada, v. 1, p. 563–566.",
68,5,"Yigit, O., Nelson, E.P., and Hitzman, M.W., 2003, Structural controls on Carlin-type gold mineralization in the Gold Bar district, Eureka County, Nevada: Economic Geology, v. 98, p. 1173–1188.",
68,6,"Yigit, O., Hofstra, A.H., Hitzman, M.W., and Nelson, E.P., 2006, Geology and geochemistry of jasperoids from the Gold Bar district, Nevada: Mineralium Deposita, v. 41, p. 527–547.",
69,7,"Yigit, O., Hofstra, A.H., Hitzman, M.W., and Nelson, E.P., 2006, Geology and geochemistry of jasperoids from the Gold Bar district, Nevada: Mineralium Deposita, v. 41, p. 527–547.",
69,5,"US Gold Corporation, 2009c, US Gold Nevada exploration update: Press Release of December 21, 2009, 5 p., last accessed June 17, 2011, at http://www.marketwire.com/press-release/US-Gold-Nevada-Exploration-Update-NYSE-Amex-UXG-1093932.htm.","http://www.marketwire.com/press-release/US-Gold-Nevada-Exploration-Update-NYSE-Amex-UXG-1093932.htm"
69,6,"US Gold Corporation, 2011, US Gold announces positive preliminary feasibility study for Gold Bar Project, Nevada: Northern Miner, Press Release of November 28, 2011.",
69,1,"Cope, E.L., and Arbonies, D.G., 1998, Gold Bar district history/summary, in Margolis, J., ed., Sediment-hosted gold deposits of the Eureka (Ruby Hill mine) and Gold Bar districts, east-central Nevada: Geological Society of Nevada Spring Field Trip Guidebook, Special Publication 27, p. 143–162.",
69,2,"French, G.McN., Fenne, F.K., Maus, D.A., Rennebaum, T.D., and Jennings, T.A., 1996, Geology and mineralization of the Gold Bar district, southern Roberts Mountains, Eureka County, Nevada, in Green, S.M., and Struhsacker, E., eds., Geology and ore deposits of the American Cordillera, 1995: Reno, Geological Society of Nevada, Field Trip Guidebook Compendium, p. 309–315.",
69,3,"US Gold Corporation, 2009a, NI 43-101 technical report for the Gold Pick project, expended to include the Cabin Creek and Hunter resources, Eureka County, Nevada: Telesto Nevada Inc. Technical Report of May 5, 2009, prepared for US Gold Corp., 164 p., last accessed June 17, 2011, at http://www.usgold.com/resource/goldbar_technical_report_43101.pdf.","http://www.usgold.com/resource/goldbar_technical_report_43101.pdf"
69,4,"US Gold Corporation, 2009b, US Gold finds new mineralized zone at Gold Bar project, Nevada: Press Release of September 9, 2011, 1 p., last accessed June 17, 2011, at http://www.proactiveinvestors.com/companies/news/2355/us-gold-finds-new-mineralized-zone-at-gold-bar-project-nevada--2355.html.","http://www.proactiveinvestors.com/companies/news/2355/us-gold-finds-new-mineralized-zone-at-gold-bar-project-nevada--2355.html"
70,2,"Kleinhampl, F.L., and Ziony, J.I., 1984, Mineral resources of the northern Nye County, Nevada: Nevada Bureau of Mines and Geology Bulletin 99B, 243 p.",
70,1,"Castor, S.B., and Hulen, J.B., 1996, Electrum and organic matter at the Gold Point Mine, Currant mining district, Nevada, in Coyner, A.R., and Fahey, P.L., eds., Geology and ore deposits of the American Cordillera: Reno, Geological Society of Nevada Symposium 1995 Proceedings, p. 547–563.",
71,2,"Ekburg, C.E., Rota, J.C., and Arkell, B.W., 1991, Geology and mineral deposits of the Maggie Creek subdistrict, Carlin Trend, Eureka County, Nevada, in Raines, G.L., Lisle, R.E., Schafer, R.W., and Wilkinson, W.H., eds., Geology and ore deposits of the Great Basin, symposium proceedings: Reno, Geological Society of Nevada, p. 625–633.",
71,1,"Christensen, O.D., 1993, Carlin Trend overview, in Christensen, O.D., ed., Gold deposits of the Carlin Trend, Nevada: Fort Collins, Colorado, Society of Economic Geologists Field Trip Guidebook Series, v. 18, p. 12–26.",
71,3,"Harlan, J.B., 2000, Geology and mineralization of the Gold Quarry mine, in Griffin, L., ed., Geology and ore deposits 2000—The Great Basin and beyond, Field Trip 7: Reno, Geological Society of Nevada, p. 93–100.",
71,4,"Harlan, J.B., Harris, D.A., Malette, P.M., Norby, J.W., Rota, J.C., and Sagar, J.J., 2002, Geology and mineralization of the Maggie Creek district, in Thompson, T.B., Teal, L., and Meeuwig, R.O., eds., Gold deposits of the Carlin Trend: Nevada Bureau of Mines and Geology Bulletin 111, p. 115–142.",
71,5,"Jensen, M.C., Rota, J.C., and Foord, E.E., 1995, The Gold Quarry mine, Carlin Trend, Eureka County, Nevada: The Mineralogical Record, v. 26, no. 5, p. 449–469.",
71,6,"Nevada Bureau of Mines and Geology, 2008, The Nevada mineral industry, 2008: Nevada Bureau of Mines and Geology Special Publication MI-2008, 178 p.",
71,7,"Nevada Bureau of Mines and Geology, 2011, The Nevada mineral industry, 2010: Nevada Bureau of Mines and Geology Special Publication MI-2010, 151 p.",
71,8,"Newmont Mining Corporation, 2012, Newmont increases gold reserves ~6% to record 99 ounces; copper reserves also a record at ~10 billion pounds: Northern Miner Press Release of February 23, 2012, 4 p.",
71,9,"Norby, J.W., 2002 Geology of the Maggie Creek district, geologic map, scale 1:18,000, in Thompson, T.B., Teal, L., and Meeuwig, R.O., eds., Deep deposits along the Carlin Trend: Nevada Bureau of Mines and Geology Bulletin 111, 1 plate.",
71,10,"‪Parraga, R.J., 2005, Geology of the Chukar Footwall mine, Maggie Creek district, Carlin Trend, Nevada—A progress report, in Rhoden, H.N., Steininger, R.C., and Vikre, P.G., eds., Symposium 2005—Window to the world: Reno, Nevada Geological Society, p. 543–562.",
71,11,"‪Parraga, R.J.A., 2007, Geology of the Chukar Footwall mine, Maggie Creek district, Carlin Trend, Nevada: Reno, University of Nevada, M.S. thesis, Publication No. 1447807, 185 p.",
71,12,"Parraga,R.J.A., 2010, Geology of the Chukar Footwall mine, Maggie Creek district, Carlin Trend, Nevada (Abstract): DMUT, Resource sharing, 2 p., last accessed April 5, 2011, at http://www.dmut.net/enshowpaper.aspx?id=109682.","http://www.dmut.net/enshowpaper.aspx?id=109682"
71,13,"Rota, J.C., and Hausen, D.M., 1991, Geology of the Gold Quarry mine: Ore Geology Reviews, v. 6, p. 83–105.",
71,14,"Sha, P., 1993, Geochemistry and genesis of sediment-hosted disseminated gold mineralization at the Gold Quarry mine, Nevada: Tuscaloosa, Alabama, University of Alabama, Ph.D. Dissertation, 228 p.",
72,3,"Lawrence, E.F., 1963, Antimony deposits of Nevada: Nevada Bureau of Mines Bulletin, no. 61, 248 p.",
72,2,"Johnson, N.A., 1989, The Golden Butte mine: Geological Society of Nevada, Special Publication no. 8, 1989 Spring Fieldtrip Guidebook, p. B1–B4.",
72,1,"Briggs, D.F., 2006, Mining operations report, version 2005: Unpublished.",
72,4,"Nevada Bureau of Mines and Geology, 2009, The Nevada mineral industry, 2009: Nevada Bureau of Mines and Geology Special Publication MI-2009, 180 p.",
73,2,"Cope, E.L., and Arbonies, D.G., 1998, Gold Bar district history/summary, in Margolis, J., ed., Sediment-hosted gold deposits of the Eureka (Ruby Hill mine) and Gold Bar districts, east-central Nevada: Geological Society of Nevada Spring Field Trip Guidebook, Special Publication 27, p. 143–162.",
73,1,"Briggs, D.F., 2006, Mining operations report, version 2005: Unpublished.",
73,3,"French, G.McN., Fenne, F.K., Maus, D.A., Rennebaum, T.D., and Jennings, T.A., 1996, Geology and mineralization of the Gold Bar district, southern Roberts Mountains, Eureka County, Nevada, in Green, S.M., and Struhsacker, E., eds., Geology and ore deposits of the American Cordillera, 1995: Reno, Geological Society of Nevada, Field Trip Guidebook Compendium, p. 309–315.",
73,4,"Nevada Bureau of Mines and Geology, 2009, The Nevada mineral industry 2009: Nevada Bureau of Mines and Geology Special Publication MI-2009, 180 p.",
73,5,"US Gold Corporation, 2009, NI 43-101 technical report for the Gold Pick project, expended to include the cabin Creek and Hunter resources, Eureka County, Nevada: Telesto Nevada Inc. Technical Report of May 5, 2009, prepared for US Gold Corp., 164 p., last accessed June 17, 2011, at http://www.usgold.com/resource/goldbar_technical_report_43101.pdf.","http://www.usgold.com/resource/goldbar_technical_report_43101.pdf"
74,2,"Briggs, D.F., 2006, Mining operations report, version 2005: Unpublished.",
74,4,"Krahulek, K., 2010, Sedimentary rock-hosted gold and silver deposits of the northeastern Basin and Range, Utah, in Steiniger, R., and Pennel, B., eds., Great Basin evolution and metallogeny: DEStech Publications, Inc., Geological Society of Nevada, Symposium 2010 Proceedings, p. 31–62.",
74,6,"Willden, R., and Adair, D.H., 1986, Gold deposits at Goldstrike, Utah, in Griffen, D.T., and Phillips, W.R., eds., Thrusting and extensional structures and mineralization in the Beaver Dam Mountains, southwestern Utah: Utah Geological Association Publication 15, p. 137–147.",
74,1,"Adair, D.H., 1986, Structural setting of the Goldstrike district, Washington County, Utah, in Griffen, D.T., and Phillips, W.R., eds., Thrusting and extensional structures and mineralization in the Beaver Dam Mountains, southwestern Utah: Utah Geological Association Publication 15, p. 129–135.",
74,3,"Cadillac Mining Corporation, 2012, Cadillac Mining intersects 1.25 g/t gold over 82 Meters; confirms significant mineralization at Goldstrike: Northern Miner Press Release of February 21, 2012.",
74,5,"Willden, R., 2006, Goldstrike mining district, Washington County, Utah, in Bon, R.L., Gloyn, R.W., and Park, G.M., eds., Mining districts of Utah: Utah Geological Association Publication 32, p. 6–41.",
75,2,"Infomine, 2011, Invenio exercises option to acquire 75% of Kings Canyon and Green Springs projects: Press Release of April 5, 2011, 2 p., last accessed June 09, 2011, at http://www.infomine.com/index/pr/PB023819.PDF.","http://www.infomine.com/index/pr/PB023819.PDF"
75,4,"Nevada Department of Minerals, 1991, Major mines of Nevada: Annual Summary 1990, 29 p., last accessed June 9, 2011, at http://minerals.state.nv.us/forms/mining/MajorMinesOfNevada/mm1989.pdf.","http://minerals.state.nv.us/forms/mining/MajorMinesOfNevada/mm1989.pdf"
75,5,"Wilson, W.R., Cox, J.W., and Lance, D.L., 1989, Geology and geochemistry of the Green Springs mine, in Schafer, B., and Buffa, R., eds., Geology and mineral deposits of White Pine County, Nevada: Reno, Geological Society of Nevada 1989 Spring Field Trip Guidebook, Special Publication 8, p. B17–B22.",
75,6,"Wilson, W.R., Cox, J.W., and Lance, D.L., 1991, Geology and geochemistry of the Green Springs gold mine, White Pine County, Nevada, in Raines, G.L., Lisle, R.E., Schafer, R.W., and Wilkinson, W.H., eds., Geology and ore deposits of the Great Basin: Reno, Geological Society of Nevada Symposium Proceedings, p. 687–700.",
75,1,"Hose, R.K., Blake, M., Jr., and Smith, R.M., 1976, Geology and mineral resources of White Pine County, Nevada: Nevada Bureau of Mines and Geology Bulletin 85, 105 p.",
75,3,"Nevada Department of Minerals, 1990, Major mines of Nevada: Annual Summary 1989, 29 p., last accessed June 9, 2011, at http://minerals.state.nv.us/forms/mining/MajorMinesOfNevada/mm1989.pdf.","http://minerals.state.nv.us/forms/mining/MajorMinesOfNevada/mm1989.pdf"
76,3,"Nevada Bureau of Mines and Geology, 2008, The Nevada mineral industry 2008: Nevada Bureau of Mines and Geology Special Publication MI-2008, 178 p.",
76,1,"Hose, R.K., Blake, M., Jr., and Smith, R.M., 1976, Geology and mineral resources of White Pine County, Nevada: Nevada Bureau of Mines and Geology Bulletin 85, 105 p.",
76,4,"Robinson, J.P., 2000, The Griffon mine, contraction, extension, and gold mineralization in the White Pine Range, Nevada, in Cluer, J.K., Price, J.G., Struhsacker, E.M., Hardyman, R.F., and Morris, C.L., eds., Geology and ore deposits 2000—The Great Basin and beyond: Reno, Geological Society of Nevada Symposium Proceedings, Reno/Sparks, p. 1157–1171.",
76,2,"Molycor Gold Corporation, 2012, Molycor Options Nevada Gold Property: Northern Miner press Release of February 22, 2012.",
77,4,"Kydd, R.A., and Levinson, A.A., 1986, Ammonium halos in lithogeochemical exploration for gold at the Horse Canyon carbonate-hosted deposit, Nevada—Use and limitations: Applied Geochemistry, v. 1, p. 407–417.",
77,1,"Briggs, D.F., 2006, Mining operations report, version 2005: Unpublished.",
77,2,"Foo, S.T., and Hebert, J.P., 1987, Geology of the Horse Canyon deposit, Eureka County, Nevada, in Johnson, J.L., ed., Bulk mineable precious metal deposits of the western United States: Geological Society of Nevada, Guidebook for Field Trip, p. 326–332.",
77,3,"Gilluli, J., and Masursky, H., 1965, Geology of the Cortez Quadrangle: U.S. Geological Survey Bulletin, v. 1175, 117 p.",
77,5,"Porter Consultancy, 1996, Horse Canyon: Database, 3 p., last accessed May 17, 2011, at http://www.portergeo.com.au/database/mineinfo.asp?mineid=mn1170.","http://www.portergeo.com.au/database/mineinfo.asp?mineid=mn1170"
78,4,"MarketWire, 2006, Tornado Gold receives drill permit for Illipah gold project: Press Release of November 6, 2006, 1 p., last accessed May 10, 2011, at http://investorshub.advfn.com/boards/read_msg.aspx?message_id=14569866#.","http://investorshub.advfn.com/boards/read_msg.aspx?message_id=14569866#"
78,5,"Roripaugh, R.L., Asher, R., and Durgin, D., 1989, Illipah, a disseminated gold deposit, in Schafer, B., and Buffa, R., eds., Geology and mineral deposits of White Pine County, Nevada: Reno, Geological Society of Nevada 1989 Spring Field Trip Guidebook, Special Publication no. 8, p. B9–B13.",
78,1,"Dean, D.A., Benedetto, K.M.F., and Durgin, D.C., 1991, Illipah area road log, in Buffa, R.H., and Coyner, A.R., eds., Geology and ore deposits of the Great Basin: Field Trip Guidebook Compendium, v. 1, p.131–135.",
78,2,"Golden Cycle, 2001, Golden Cycle Gold Corporation acquires Illipah gold mining prospect in Nevada: News Release of November 7, 2001, 2 p., last accessed May 10, 2011, at http://www.goldencycle.com/11072001.html.","http://www.goldencycle.com/11072001.html"
78,3,"Maher, B.J., 1997, Mississippian sedimentary rock-hosted gold deposits of the eastern Great Basin—Relative importance of stratigraphic and structural ore controls, in Vikre, P., Thompson, T.B., Bettles, K., Christensen, O., and Paratt, R., eds., Carlin-type gold deposits, field conference: Society of Economic Geologists Guidebook Series, v. 28, p. 171–182.",
79,5,"Zimmerman, J.E., 2009, Gold mineralization at Kings Canyon, Millard County, Utah, in Tripp, B.T., Krahulec, K., and Jordan, J.L., eds., Geology and geologic resources and issues of western Utah: Utah Geological Association Publication 38, p. 187–195.",
79,2,"Invenio Resources Corp., 2011, Advanced exploration for gold in Alaska, Nevada and Utah: News Release, 8 p., last accessed August 1, 2011, at http://www.invenioresources.com/wp-content/uploads/corporate_brochure_2011_06_23.pdf.","http://www.invenioresources.com/wp-content/uploads/corporate_brochure_2011_06_23.pdf"
79,3,"Krahulek, K., 2010, Sedimentary rock-hosted gold and silver deposits of the northeastern Basin and Range, Utah, in Steiniger, R., and Pennel, B., eds., Great Basin evolution and metallogeny: DEStech Publications, Inc., Geological Society of Nevada, Symposium 2010 Proceedings, p. 31–62.",
79,4,"Steel, R., 2009, A prospecting legacy and an American dream, in Tripp, B.T., Krahulec, K., and Jordan, J.L., eds., Geology and geologic resources and issues of western Utah: Utah Geological Association Publication 38, p. 197–202.",
79,1,"Hintze, L.F., and Davis, F.D., 2003, Geology of Millard County, Utah: Utah Geological Survey Bulletin 1333, 305 p.",
80,3,"McLachlan, C.D., Struhsacker, E.M., and Thompson, W.F., 2005, The gold deposits of Pinson Mining Company—A review of the geology and mining history through 1999, Humboldt County, Nevada, in Callicrate, T., Leavitt, E., Crafford, E.J., and O’Malley, P., eds., Window to the world; Sediment-hosted gold deposits of the Getchell district, Nevada: Reno, Geological Society of Nevada, Field Trip Guidebook 4, p. 103–130.",
80,1,"Briggs, D.F., 2006, Mining operations report, version 2005: Unpublished.",
