recno,aggrd0,aggrd1,aggrd2,aggrd3,dep10km,auprgrd,augrd0,augrd1,augrd2,augrd3,augrd4,augrd5,augrd6,augrd7,augrd8,bedlens,comments,autonne,country,cntrycode,crushing,depagegeol,deparea,depcluster,deplen,depthick,depwidth,dikesill,discdate,faultzone,geochem,partsize,heapleach,introck,introckage,latitude,latdeg,latmin,latsec,locacc,longitude,londeg,lonmin,lonsec,depname,openpit,oreunit,orethick,orebreccia,owneroper,prodton,prodyear,aurecovery,rsvopyear,rsvtonop,rsvugyear,rsvtonug,rscopyear,rsctonop,rsctonug,rscugyear,srctongrd,startdate,stprov,status,stockplu,subtype,tect_set,tonnage,undergrd,veinstock
62,,,,0,"sediment-hosted Au; intrusion-related gold (Bald Mtn. district)",1.1,0,1.1,,,,,,,1.1,yes,"Mined out.",1.98,U.S.A.,USNV,,Eocene,0.07,"Carlin Trend",0.6,,0.15,yes,1980s,,,,yes,"granodiorite, quartz monzonite",159,39.9341666666667,39,56,3,Accurate,-115.483055555556,-115,-28,-59,Galaxy,yes,"Devonian-Mississippian Pilot Shale",70,,"Bald Mtn. Mining Co.",1.8,"after 1999",,,1.8,,,,,,,"Nutt and others (2000)",1999,Nevada,inactive,yes,Carlin,"North-American craton rifted western margin, foreland basin related to Antler orogeny",1.8,,
63,,,,0,"sediment-hosted Au",5.83,,,,,,,,,5.83,yes,"Mined out. In 1993 UG operations commenced from West Generator open pit, UG production was not reported separately. Economic Au mineralization occurs on two close stratigraphic levels divided by Saval discontinuity and brecciated rocks: Roberts Mountains Fm. and unit 3 of Hanson Creek Fm. (Birak and Hawkins, 1984).",70.3,U.S.A.,USNV,yes,Eocene,1.1,"Jerritt Canyon district",2,50,0.7,yes,1978,,"Au, As, Hg, Sb",≤4,yes,"basalt (argillicaly alterd in some places)","40.8 Ar-Ar",41.4094444444445,41,24,34,Accurate,-116.005555555556,-116,0,-20,"Generator Hill",yes,"Silurian–Lower Devonian Roberts Mts. Fm., lower part; Late Ordovician–Early Silurian Hanson Creek Fm., unit 3",145,,"Yukon-Nevada Gold Corporation",12.06,"after 1981",,2004,,,,,,,,"Margolis (2002); Briggs (2005)",1981,Nevada,inactive,,Carlin,"North-American craton, platform at rifted western margin",12.06,yes,
64,0.77,,,0.77,"sediment-hosted Au; W skarn",10.84,,,,,0,4.18,0,15.2,6.71,,"1938–1997 OP oxide ore mining, 15.1 Mt ore at 0.65 to 1.68 g/t Au, total Au:Ag=19.3. Gold particle size ≤80 microns in breccia (Bowell and others, 1999). Multistage gold deposition. Comus Fm. is overthrusted by Valmy Fm. (RMT).",716,U.S.A.,USNV,yes,Eocene,5.8,"Getchell Trend",3.9,,1.9,yes,1933,yes,"Au, As, Sb, Hg, Tl, Ba","<1 to 20",yes,"granodiorite (Osgood Mtn. stock); andesite porphyry, dacite porphyry dikes","92, Ar-Ar; Eocene?",41.2116666666667,41,12,42,Accurate,-117.254722222222,-117,-15,-17,"Getchell/Turquoise Ridge",yes,"Cambrian Preble Fm.; Ordovician Comus Fm.; Ordovician Valmy Fm. overthrusts Comus Fm. along RMT)",300,yes,"Barrick Gold Corp. 75%; Newmont Mining Co. 25%",16.7,1938–2011,"79; 92",,,14.5,"2011, proven+probable",,,75.5,"2011, measured+indicated+inferred","Barrick (2012); Nevada Bureau (2011); Global Infomine (2012)",1938,Nevada,"mining operations",yes,Carlin,"North-American craton rifted western margin, imbricate structure",106.7,yes,
65,,,,0,"sediment-hosted Au",,,,0,1.65,,,,,1.65,yes,"Ore-bearing Webb Fm. overlies eroded karstic paleosurface of Devils Gate Limestone.",4,U.S.A.,USNV,,Eocene,0.03,"Carlin Trend",0.3,60,0.12,,1986,,"As, Au, Ba",≤1,,,,40.6066666666667,40,36,24,Accurate,-116.013611111111,-116,0,-49,Gnom,,"Lower Mississippian Webb Fm.",250,,"Newmont Gold Co.",,,,,,,,1988,2.45,,,"Thoreson (1991); McFarlane (1991); Nevada Bureau (2008)",,Nevada,inactive,,Carlin,"North-American craton rifted western margin, foreland basin related to Antler orogeny",2.45,,
66,,,,0,"sediment-hosted Au; Ag-polymetallic veins",3.26,1.87,3.6,,,,,,,3.43,yes,"Mining operations resumed 1987. Au mineralization is confined to an upper horizon of Roberts Mts. Fm. surrounded by skarn. It is controlled by shearing zone related to Roberts Mountains thrust (RMT) cut by NE high-angle faults. Minor Au mineralization also found in skarn and in upper plate of RMT (chert, greenstone, sandstone, and shale of Devonian Slaven to Ordovician Valmy Fms.).",31.2,U.S.A.,USNV,yes,Eocene,0.2,"Battle Mountain–Eureka Trend",0.8,50,0.3,yes,1922,yes,"Au, As, Sb, Hg, Tl",≤1,yes,"quartz monzonite Gold Acres stock beneath deposit area; quartz porphyry dikes","103.8 (U-Pb); 35",40.2561111111111,40,15,22,Accurate,-116.745833333333,-116,-44,-45,"Gold Acres",yes,"Silurian–Lower Devonian Roberts Mts. Fm.",60,,"Barrick Gold Corp., Cortez Gold Mines",4.7,1942–1984,,"1987, mineable",4.4,,,,,,,"Nevada Bureau (1989); Hays and Foo (1991)","late 1930",Nevada,"mining operations (?)",yes,Carlin,"North-American craton rifted western margin, imbricate structure",9.1,yes,
67,,,,0,"sediment-hosted Au",2.67,,,0,2.95,,,,,2.67,yes,"Mined out. Waste:ore=3:1. The carbonaceous ore is twice the grade, about 6.1 g/t Au, comparing oxide ore (Broili and others, 1988). Tertiary agglomerate and rhyolitic tuff (24 Ma) cover a part of the deposit area. Ore-hosting rocks possibly are related to Devonian Denay Fm. 90% gold recovery indicates gold extraction in metallurgical process.",9.56,U.S.A.,USNV,yes,"Tertiary, older than 24 Ma",0.3,"Battle Mountain–Eureka Trend",1.3,60,0.3,,1984,yes,"Au, As, Sb, Hg","1 to 10",yes,,,39.7480555555556,39,44,53,Accurate,-116.436388888889,-116,-26,-11,"Gold Bar",yes,"Devonian Nevada Fm., middle unit",60,yes,"US Gold Corporation",3.58,1987–1990,90,,,,,"1985, pre-mining",3.95,,,"Broili and others (1988); Briggs (2006)",1987,Nevada,inactive,,Carlin,"North-American craton, platform at rifted western margin",3.58,,
68,,,,0,"sediment-hosted Au",2.23,0,2.74,,,,,,,2.74,yes,"Mined out. The deposit is controlled by NE-trending high-angle “feeder fault” at the intersection with NW-trending fault. Pipe-like jasperoid body is confined to the intersection, it contains 3.4 to 10.3 g/t Au (Cope and Arbonies, 1998). Stratabound bedded jasperoid is typical but contains lower gold grade. The deposit is distinctive of measurable amounts of silver and barite (no data on Ag and Ba grades were found). 90% gold recovery indicates mainly gold extraction in metallurgical process.",2.1,U.S.A.,USNV,yes,"Tertiary, older than 24 Ma",0.01,"Battle Mountain–Eureka Trend",0.2,25,0.08,,1988,yes,"Au, As, Sb, Hg",,yes,,,39.8030555555556,39,48,11,Accurate,-116.364722222222,-116,-21,-53,"Gold Canyon",yes,"Devonian Denay Fm.",75,yes,,0.6,1994,90,"1993, pre-mining",0.77,,,,,,,"Briggs (2006); Nevada Bureau (2009)",1994,Nevada,inactive,,Carlin,"North-American craton, platform at rifted western margin",0.77,,
69,,,,0,"sediment-hosted Au",2.52,0.285,1.01,0.411,0.98,,,,,1.11,yes,"Feasibility study. Drill holes 2009 intersect 22.9 m at 2.05 g/t and 54.9 m at 0.94 g/t closing 230 m gap between the Gold Pick and Gold Ridge deposits (US Gold, 2009b, 2009c). 88.4% gold recovery indicates average gold extraction.",33.3,U.S.A.,USNV,yes,"Tertiary, older than 24 Ma",0.7,"Battle Mountain–Eureka Trend",2.1,60,0.4,,1987–1988,,"Au, As, Sb, Hg, Tl, Ag",≤1,yes,,,39.7969444444444,39,47,49,Accurate,-116.342777777778,-116,-20,-34,"Gold Pick/Gold Ridge",yes,"Lower–Middle Devonian McColley Fm., Bartine member",100,,,2.54,1991–1994,88.4,"2011, probable",13.1,,,"2009, NI 43-101 measured+indicated+inferred",27.4,,,"US Gold (2009a)",1991,Nevada,exploration,,Carlin,"North-American craton, platform at rifted western margin",30,,
70,,,,,"W mineralization (?)",,,,,,,,,,,yes,"Kleinhampl and Ziony (1984) ascribed to the Gold Point deposit the hole amount of 539 tonnes of gold and silver ore mined in the district in 1940. Production of gold and silver was exclusively from quartz-electrum-bitumen veins confined to stratiform jasperoid (Castor and Hulen, 1996). Possible stratabound Carlin-type jasperoid mineralization was overprinted and reworked by young epithermal gold-silver veins (VB).",,U.S.A.,USNV,,"remobilized in Oligocene (?)",0.13,"Battle Mountain–Eureka Trend",1.7,20,0.1,,1914,,"Au, Cu, Ag, Sb","visible electrum",,"rhyodacite porphyry",Oligocene,38.8219444444444,38,49,19,Accurate,-115.368888888889,-115,-22,-8,"Gold Point",,"Mississippian Chainman Shale, lower unit, and Joana Limestone",400,yes,,,,,,,,,,,,,"no resources reported",1940,Nevada,inactive,yes,Carlin,"North-American craton rifted western margin, foreland basin related to Antler orogeny",,yes,yes
71,0.13,,,0.13,"sediment-hosted Au; oxide Cu, Pb, and Zn",1.5,0,1.5,0,1.27,,,0,13.1,1.5,yes,"Newmont (2012) announced open pit expansion at Gold Quarry. OP tonnage, gold grade, and production approximately calculated from Nevada Bureau (2011) and Harlan and others (2002). UG tonnage and gold grade of the Chukar Footwall deposit calculated from Nevada Bureau (2008) and Parraga (2005). Harlan and others (2002) estimated nearly 24 million ounces of gold (746 t Au) of total historical production and remaining reserves and resources of the deposit. Sha (1993) found synsedimentary Paleozoic gold mineralization, pointing out this type of mineralization as a considerable component of the deposit that was partially remobilized afterwards. According to Parraga (2005, 2007, 2010), As and Sb minerals were affected by contact metamorphism, late Au is associated with quartz+sericite+dolomite+barite, post-contact metamorphism. Abundant visible gold is typical in the Chukar barite veinlets and fractures of late, probably Miocene stage of fracturing and gold remobilization. The Raven latite dike was dated Early Jurassic, 200 Ma, by U-Pb zircon chronology. Gold mineralization observed 600 m down dip.",704,U.S.A.,USNV,yes,"Late Devonian synsedimentary, Eocene reset",1.3,"Maggie Creek district",2.1,,1.3,yes,1962-1970,yes,"Au, As, Sb, Hg, Tl (Cu, Pb, Zn, Co, Ni)","≤1; visible",yes,latite,"200.3±5.1, U-Pb, zircon",40.7866666666667,40,47,12,Accurate,-116.214444444444,-116,-12,-52,"Gold Quarry",yes,"Silurian-Lower Devonian Roberts Mts. Fm.; Devonian Popovich Fm. and Rodeo Creek unit",400,,"Newmont Mining Corporation",469,1981-2011,,"2005 proven +probable",136,0.94,"2005, proven +probable","1990, geologic",465,,,"Nevada Bureau (2011); Parraga (2005); Harlan and others (2002)",1985,Nevada,"mining operations",,Carlin,"North-American craton, platform at rifted western margin",469,yes,yes
72,0.2,,,0.2,,1.65,0,1.06,0,0.86,,,,,1.27,yes,"Mined 1989-1991. Waste:ore=2.4:1. Calculated ratio Au:Ag=6:1. Mineralization in basal part of tabular body of jasperoid located under thrust Devonian dolomite. 75% gold recovery indicates gold extraction in heap-leach process.",5.2,U.S.A.,USNV,yes,Eocene,0.2,"East NV out of main trends",0.6,7,0.5,,1981,yes,"Au, As, Sb, Hg",,yes,,,39.8875,39,53,15,Accurate,-115.048055555556,-115,-2,-53,"Golden Butte",yes,"Mississippian Chainman Shale",0,yes,,2,1989–1991,75,1988,2.5,,,1991,1.6,,,"Briggs (2006); Nevada Bureau (2009)",1989,Nevada,inactive,,Carlin,"North-American craton rifted western margin, foreland basin related to Antler orogeny",4.1,,
73,,,,0,"sediment-hosted Au",2.64,0,3.56,,,,,,,2.64,yes,"Mined out. 82% gold recovery indicates average gold extraction.",2.5,U.S.A.,USNV,yes,"Tertiary, older than 24 Ma",0.14,"Battle Mountain–Eureka Trend",0.6,50,0.3,,1987,yes,"Au, As, Sb, Hg",,yes,,,39.8102777777778,39,48,37,Accurate,-116.344166666667,-116,-20,-39,Goldstone,yes,"Devonian Denay Fm.",75,yes,"US Gold Corporation",0.94,1991–1995,82,"1993, historic, mineable",0.12,,,,,,,"Briggs (2006); Nevada Bureau (2009)",1991,Nevada,inactive,,Carlin,"North-American craton, platform at rifted western margin",0.94,,
74,0.84,,,0.84,,1.2,,,,,,,,,1.2,yes,"Mined, resumed exploration. Initial discovery was high-grade visible gold in late-stage (?) veins (Krahulec, 2010) ; high-grade pocket of ~100 g/t Au over 4.6 m was intersected by an exploration hole. 1912–1942 intermittent small-scale UG production of 814 ounces (25,3 kg) Au and 333 ounces (10,4 kg) Ag (Willden, 2006). OP mining commenced in 1988. Waste:ore=2:1 (Briggs, 2006). Total silver production is 6.15 tonnes (197,654 ounces); Au:Ag=1.4:1; Au-Ag ores contain anomalous Bi, Sb, As, Hg, Se, and Tl (Krahulek, 2010). The deposit includes 12 OP mining areas, four of them are entirely hosted by Paleozoic rocks. Cadillac Mining (2012) recently intersected 1.25 g/t Au over 82 m. 69% gold recovery indicates gold extraction in heap-leach process.",8.8,U.S.A.,USUT,yes,"Miocene (?)",4.7,,5.5,,1.1,yes,"before 1895",yes,"Au, As, Hg, Sb, (Bi, Se, Tl)",,yes,"andesite porphyry (highly altered)",Tertiary,37.3875,37,23,15,Accurate,-113.8775,-113,-52,-39,Goldstrike,yes,"Tertiary Claron Fm.; strongly deformed Upper Paleozoic strata",180,yes,"Cadillac Mining Corporation",7.3,1989–1996,69,,,,,,,,,"Willden (2006); Krahulek (2010)","1912; 1988",Utah,exploration,,Carlin,"Tertiary overlapping sequence at southeastern edge of Great Basin",7.3,yes,
75,0.26,,,0.26,,2.1,0.7,2.06,,,,,,,2.1,yes,"Waste:ore=2.7:1 (Wilson and others, 1991). According to Nevada Department (1990, 1991), 9,000 oz Ag (0.279 t Ag) recovered in 1989–1990. 80% gold recovery probably indicates gold extraction in the heap-leach process.",2.3,U.S.A.,USNV,yes,Cretaceous?,0.9,"Battle Mountain–Eureka Trend",4,35,0.3,,1986,,"Au, As, Sb, Hg, Tl",,yes,,,39.1402777777778,39,8,25,Accurate,-115.552777777778,-115,-33,-10,"Green Springs",yes,"Mississippian Joana Limestone and Chainman Shale, lower unit",135,yes,"Invenio Resources Corp. 75%",1.1,1988–1990,80,"1987, historic",1.13,,,,,,,"Nevada Department (1990, 1991); Wilson and others (1989, 1991)",1988,Nevada,exploration,,Carlin,"North-American craton rifted western margin, foreland basin related to Antler orogeny",1.1,,
76,0.003,,,0.003,,1.03,0,0.86,,,,,,,1.03,yes,"Mined out.",2.8,U.S.A.,USNV,,"Late Cretaceous–Oligocene",0.16,"Battle Mountain–Eureka Trend",0.7,100,0.3,,1988,,"Au, As, Sb, Hg, Zn",,yes,,,39.0619444444444,39,3,43,Accurate,-115.399722222222,-115,-23,-59,Griffon,yes,"Mississippian Joana Limestone, upper part, and Chainman Shale, lower unit",150,,"Molycor Gold Corporation",2.7,1997–1999,,"1995, proven+probable",2.5,,,,,,,"Robinson (2000); Nevada Bureau (2008)",1997,Nevada,inactive,,Carlin,"North-American craton rifted western margin, foreland basin related to Antler orogeny",2.7,,
77,,,,0,"sediment-hosted Au; Ag-polymetallic veins",3.8,0.24,4.16,,,,,,,3.8,yes,"Mined out. Production of 1983–1987 reported in Porter (1996) referring to S. Foo personal communication (1993). Devonian Wenban Limestone (RMT lower plate) contains >90% ore. 70% gold recovery indicates gold extraction in the heap-leach process.",12.2,U.S.A.,USNV,yes,Tertiary,0.22,"Battle Mountain–Eureka Trend",1.1,,0.25,yes,1976,yes,"Au, As, Sb, Hg, Tl",≤1,yes,"felsic dikes",post-Oligocene?,40.1627777777778,40,9,46,Accurate,-116.559722222222,-116,-33,-35,"Horse Canyon",yes,"Devonian Wenban Limestone (RMT lower plate); Ordovician Vinini Fm. (upper plate)",200,yes,"Barrick Gold Corp., Cortez Gold Mines",3.2,1983–1987,70,1983,2.81,,,,,,,"Foo and Hebert (1987); Porter (1996)",1983,Nevada,inactive,,Carlin,"North-American craton, platform at rifted western margin",3.2,,
78,,,,0,,1.13,,,0,1.23,,,,,1.18,yes,"Mined 1988–1989. Waste:ore=4.6:1; 1988–1989 production of 1.16 t Au, Au:Ag=20:1. There is uncertainty in the deposit stratigraphic setting. Roripaugh and others (1989) defined sedimentary host-rocks as Devonian Devils Gate Limestone and Devonian-Mississippian Pilot Shale. Maher (1997) and Golden Cycle (2001) determined the host-rocks as Mississippian Joana Limestone and Mississippian Chainman Shale. The latter definition is preferable on the base of regional geologic maps (VB). 500 ppm Cu in oxidized ore. Tertiary volcanic activity in the district (33–17 Ma).",2.24,U.S.A.,USNV,,Tertiary,0.16,"Carlin Trend",0.6,15,0.35,,"before 1980",,,,yes,,,39.4605555555556,39,27,38,Accurate,-115.45,-115,-27,0,Illipah,yes,"Mississippian Joana Limestone and Chainman Shale",200,,"Tornado Gold International Corp.",1.03,1988–1989,,,,,,2006,0.87,,,"Tornado Gold (Market Wire, 2006)",1988,Nevada,exploration,,Carlin,"North-American craton rifted western margin, foreland basin related to Antler orogeny",1.9,,
79,,5.93,,5.93,,,,,0.34,0.83,,,,,0.83,yes,"Karst breccia is a possible additional ore-controlling feature.",11.3,U.S.A.,USUT,,,0.02,,0.2,,0.1,yes,1987,yes,"As, Sb, Hg, Ba",≤1,,"feldspar porphyry","Tertiary (?)",39.0394444444444,39,2,22,Accurate,-113.823333333333,-113,-49,-24,"Kings Canyon",,"Middle Devonian Simonson Dolomite",200,yes,"Invenio Resources Corporation",,,68,,,,,"1992, estimated",13.6,,,"Zimmerman (2009); Krahulek (2010)",,Utah,exploration,,Carlin,"North-American craton, platform at rifted western margin",13.6,,
80,,,,0,,2.03,,,0,1.58,,,,,2.03,,"Mined out. In early 1900s, almost 27,000 tonnes at >6.5 g/t Au was mined from the main vein by underground workings (Kretschmer, 1991). Waste:ore=1.5:1. Ore tonnage, gold grades and contained gold amount are approximate.",0.6,U.S.A.,USNV,,Eocene,0.02,"Getchell Trend",0.3,40,0.1,yes,1907,yes,"As, Sb, Pb, Zn",≤25,yes,dacite,Eocene?,40.9255555555556,40,55,32,Accurate,-117.503333333333,-117,-30,-12,"Kramer Hill",yes,"Cambrian Osgood Mtn. Quartzite, Twin Canyon member",0,yes,"Pinson Mining Co. (subsidiary of Barrick Gold Corp.)",0.3,"early 1900s; 1990–1994",,,,,,1990,0.27,,,"Kretschmer (1991); Briggs (2006)","1909; 1990",Nevada,inactive,,Carlin,"North-American craton rifted western margin, imbricate structure",0.3,yes,
81,0.34,,,0.34,"sediment-hosted Au",10.52,,,,,6.86,8.47,6.86,9.67,9.47,yes,"UG mining. Approximate tonnage, gold and silver grade, and production calculated from Newmont (2012); Nevada Bureau (2011). The deposit occurs at 425 to 570 m below the surface (Teal and Jackson, 1997). Underground Greater Liville-Turf-Four Corners project is at pre-feasibility (McCann and Rathlow, 2010); there are also new discoveries at ≤3.5 km distance from the shaft, below the current water table (IM, 2011).",167,U.S.A.,USNV,yes,Eocene,0.3,"Carlin Trend",0.75,≤42,0.47,yes,1994,yes,"As, Au, Hg, Sb, Tl",<1,,"lamprophyre; monzonite porphyry","Jurassic (158 Ma); ?",40.9327777777778,40,55,58,Accurate,-116.327222222222,-116,-19,-38,Leeville,,"Silurian–Lower Devonian Roberts Mts. Fm., upper part",350,,"Newmont Gold Co.",3.3,2006-2011,93,,,9,"2011, proven+ probable",,,5.3,"2011, measured+indicated+inferred","Newmont (2012); Nevada Bureau (2011), Global Infomine (2011)",2006,Nevada,"mining operations",,Carlin,"North-American craton, platform at rifted western margin",17.6,yes,
82,,5,,0.5,"sediment-hosted Au",,,,0.2,2.32,,,,,2.32,yes,"0.05–0.6 g/t Ag in ore (Gustin and others, 2010). Newmont expands Nevada growth potential with acquisition of Fronteer Gold, 02/03/2011. The resources remain open along strike and at depth. Mineralization, 15 to 45 g/t Au, superposed on Eocene hematized lamprophyre dikes. Unexposed granitic pluton is proposed 2.5 km SE (Bedell and others, 2010). Ore-host Upper Cambrian and Ordovician ore-bearing carbonate rocks are highly sheared and are divided by erosional unconformity accompanied by boudinaged dolomite horizon (70 m) with karst breccia. 98% gold recovery indicates gold extraction in metallurgical process.",68.5,U.S.A.,USNV,yes,Eocene,1.04,"Pequop district",2.2,20,0.6,yes,1999,yes,"As, Au, Hg, Sb, Tl","<1 to 5",yes,"lamprophyre; felsic rocks","162–154; 41–39; U-Pb, zircon",40.9733333333333,40,58,24,Accurate,-114.531111111111,-114,-31,-52,"Long Canyon",yes,"Ordovician Pogonip Group, basal unit; Upper Cambrian Notch Peak Fm., upper units",150,yes,"Fronteer Gold Inc. (acquired by Newmont Mining Corp. March 2, 2011)",,,98,,,,,"2011, NI 43-101 measured+indicated+inferred",29.5,,,"Fronteer Gold (2011)",,Nevada,exploration,,Carlin,"North-American craton, platform at rifted western margin",29.54,,
83,,,,0,"sediment-hosted Au; Pb-Ag-Au replacement; quartz-polymetallic vein",4.11,,,0.21,0.54,,,,,0.56,yes,"Mined 1987–1988. Timberline Resources (2011c) reports 19 new intercepts of gold grades more than 3.4 g/t, including three 3–4 meters intervals ≥14 g/t Au. Highly deformed ore-hosting Cambrian stratigraphic sequence strikes longitudinally and dips almost vertically. Mineralized breccia of multiple origins—collapse (karst), tectonic, and possibly depositional, is predominantly developed within Hamburg Dolomite. 85% gold recovery indicates average gold extraction.",20,U.S.A.,USNV,yes,Tertiary,0.4,"Battle Mountain–Eureka Trend",1.8,60,0.3,yes,1960s,yes,"Au, As, Tl, Hg, Sb, Ba",,yes,"quartz porphyry",Tertiary?,39.4125,39,24,45,Accurate,-116.000277777778,-116,0,-1,"Lookout Mountain",yes,"Upper Cambrian Dundeberg Shale; Middle–Upper Cambrian Hamburg Dolomite, upper part",150,yes,"Timberline Resources Corporation",0.17,1987–1988,85,,,,,"2012, NI 43-101 measured+indicated+inferred",35.5,,,"Gustin (2011); Timberline (2012)",1987,Nevada,exploration,,Carlin,"North-American craton rifted western margin, imbricate structure",35.7,,
84,,,,0,"sediment-hosted Au; oxide Cu",0.55,0,0.55,,,,,,,0.55,,"Mined out.",2.8,U.S.A.,USNV,,Eocene,0.14,"Maggie Creek district",0.6,,0.3,yes,1985,yes,"Au, As, Sb",<1,yes,"altered dike rock",,40.79,40,47,24,Accurate,-116.23,-116,-13,-48,MAC,yes,"Devonian Rodeo Creek unit and Popovich Fm.",0,,"Newmont Gold Co.",5.15,,,"1992, proven+probable",5.15,,,,,,,"Christensen (1993); Harlan and others (2002)",2002,Nevada,inactive,,Carlin,"North-American craton, platform at rifted western margin",5.15,no,
85,,,,0,"sediment-hosted Au",7.9,0,7.9,,,,,,,7.9,yes,"Mined out. According to Stevens and Hawkins (1982), the 1981 reserve of 11.4 Mt at 7.9 g/t estimated by Freeport-McMoRan, Inc. Oxidized ore zones are present (Wilton, 2004). Economic stratiform Au mineralization occurs on two close stratigraphic levels divided by Saval discontinuity and brecciated rocks: lower part of Roberts Mountains Fm. and unit 2 of Hanson Creek formation (Birak and Hawkins, 1984).",90,U.S.A.,USNV,yes,Eocene,0.4,"Jerritt Canyon district",1.7,50,0.3,,1976,,"Au, As, Hg, Sb",≤4,,,,41.4063888888889,41,24,23,Accurate,-115.985833333333,-115,-59,-9,"Marlboro Canyon",yes,"Silurian-LowerDevonian Roberts Mts. Fm., lower part; Late Ordovician–Early Silurian Hanson Creek Fm., unit 2",40,,"Yukon-Nevada Gold Corporation",11.4,"from 1981",,1982,11.4,,,,,,,"Stevens and Hawkins (1982); production approximately calculated from Briggs (2005);",1981,Nevada,inactive,,Carlin,"North-American craton, platform at rifted western margin",11.4,yes,
86,2.41,,,2.41,"sediment-hosted Au, bedded barite",14.7,,,,,0,10.32,0,8.74,12.7,yes,"UG mining. The production includes 0.33 Mt ore with nearly 93.3 t Au at 27.9 g/t Au from the mined out in 1999–2009 Deep Post underground deposit (Newmont, 2009; Nevada Bureau, 2008; ). Sulfide ore occurs at depth 245 to >580 m below surface. Small-scale mercury workings in 1940s.",509.7,U.S.A.,USNV,yes,"Devonian synsedimentary, Eocene reset",2,"Carlin Trend",5,,0.5,yes,1989,yes,"As, Hg, Sb, Tl, Cu, Zn",<1,,"lamprophyre, monzonite, rhyodacite; dacite porphyry","159.3–154.6; 38.3–37.8",41.0027777777778,41,0,10,Accurate,-116.3825,-116,-22,-57,Meikle,,"Silurian-Lower Devonian Roberts Mts. Fm. and Bootstrap Limestone; Devonian Popovich Fm. and Rodeo Creek unit",1000,yes,"Barrick Gold Corp.",24.4,1996–2011,95,,,10.8,"2011, proven+probable",,,5.5,"2011, measured+indicated+inferred","Barrick (2011); Nevada Bureau (2011); Newmont (2009)",1996,Nevada,"mining operations",,Carlin,"North-American craton, platform at rifted western margin",40.1,yes,
87,,,,0,"Cu-Au-Mo porphyry (Bingham); Cu-Au skarn (Carr Fork); Pb-Zn-Ag replacement and vein; sediment-hosted Au",2.4,,,,,,,,,2.4,,"Mined, depleted 1989–2001. Oxidation extends to depth >200 m. The deposit remains open beyond depth of 300 m. Heap leaching of gold in minor amounts continues in 2009. Au:Ag=50:1 (Krahulek, 2010). Waste:ore=9:1 (Gunter and Austin (1997). Gold mineralization confined to NE-trending steeply-dipping anastomosing fault and breccia zone near structurally complex contact of Kirkman-Diamond Creek and Freeman Peak Formations. 85% gold recovery indicates average gold extraction.",37.7,U.S.A.,USUT,yes,"Mesozoic (?); Oligocene–Eocene",0.05,"Bingham porphyry system",0.7,60,0.1,yes,1986,yes,"Au, As, Sb, Hg, Tl, Ba","≤1 to 100",yes,"unaltered latite porphyry (2.5 km to W)","Tertiary (?)",40.5866666666667,40,35,12,Accurate,-112.159444444444,-112,-9,-34,Melco,yes,"Permian Kirkman-Diamond Creek Fm. and Freeman Peak Fm.)",0,yes,,15.7,1989–2001,85,,,,,,,,,"Krahulek (2010)",1988,Utah,inactive,,Carlin,"North-American craton, platform at rifted western margin",15.7,,
88,1.04,,,1.04,"Pb-Zn-Ag skarn; Pb-Zn-Ag replacement (Ophir); sediment-hosted Au",2.83,,,,,,,,,2.83,yes,"Mined, depleted 1890–1998. Intermittent production from 1890 till 1998, waste:ore=6:1 (Briggs, 2006); 45.35 tonnes Ag and 11.73 tonnes Hg recovered as byproducts (Mako, 1999; Krahulek, 2010). 71% gold recovery indicates mostly gold extraction in heap-leach process. There is locally mineralized breccia containing fragments of Paleozoic sedimentary rocks and Tertiary igneous rocks. According to detailed maps, cross-sections, and descriptions given by Kerr (1997) and Mako (1999), breccia penetrates ore-hosting Mercur member and upper contact of underlying Topliff limestone. Morphologically, texturally, and compositionally the breccia looks like karst formation (VB). Ag mineralization mostly related to jasperoid (earliest hydrothermal event) in the central part of deposit. There are two different age determinations of the Mercur gold deposit: (1) Jurassic, 152 Ma, related to Mesozoic tectonism (Wilson and Parry, 1990, 1995); (2) Paleogene, post-31.6, related to Tertiary igneous activity (Mako, 1997, 1999; Morris and Tooker, 1996).",114,U.S.A.,USUT,yes,"Two determinations: (1) Jurassic and (2) Paleogene",1.5,"Bingham porphyry system",2.75,70,0.7,yes,1870,,"Au, Ag, As, Hg, Sb, Tl, Ba",≤2,yes,"quartz monzonite; rhyolite","36.7±0.5; 31.6±0.9",40.3130555555556,40,18,47,Accurate,-112.206388888889,-112,-12,-23,Mercur,yes,"Upper Mississippian Great Blue Limestone, Mercur member",70,yes,"Barrick Gold Corp.",39.1,1890–1998,71,,,,,,,,,"Mako (1999); Krahulek (2010)",1890,Utah,inactive,,Carlin,"North-American craton, platform at rifted western margin",39.1,yes,
